ID,Mahalla,Tuman,ID (tuman)
1,Amir Temur nomli ovul fuqarolar yig`ini,Amudaryo tumani,15
2,Tosh Yop ovul fuqarolar yig`ini,Amudaryo tumani,15
3,O`rta qal`a ovul fuqarolar yig`ini,Amudaryo tumani,15
4,"O`rta qal`a ovul fuqarolar yig`ini tarkibidagi ""Arna bo`yi"" MFY",Amudaryo tumani,15
5,"O`rta qal`a ovul fuqarolar yig`ini tarkibidagi ""Bog`"" MFY",Amudaryo tumani,15
6,Qilichboy ovul fuqarolar yig`ini,Amudaryo tumani,15
7,"Qilichboy ovul fuqarolar yig`ini tarkibidagi ""Xizr eli"" MFY",Amudaryo tumani,15
8,"Qilichboy ovul fuqarolar yig`ini tarkibidagi ""Besh ovul"" MFY",Amudaryo tumani,15
9,"Qilichboy ovul fuqarolar yig`ini tarkibidagi ""Tosh qal`a"" MFY",Amudaryo tumani,15
10,"Qilichboy ovul fuqarolar yig`ini tarkibidagi ""Yuqori qishloq"" MFY",Amudaryo tumani,15
11,Xalimbeg ovul fuqarolar yig`ini,Amudaryo tumani,15
12,"Xalimbeg ovul fuqarolar yig`ini tarkibidagi ""AYoqchi"" MFY",Amudaryo tumani,15
13,Do`rman ovul fuqarolar yig`ini,Amudaryo tumani,15
14,"Do`rman ovul fuqarolar yig`ini tarkibidagi ""Qoramon"" MFY",Amudaryo tumani,15
15,"Do`rman ovul fuqarolar yig`ini tarkibidagi ""Bo`z solma"" MFY",Amudaryo tumani,15
16,Bo`z Yop ovul fuqarolar yig`ini,Amudaryo tumani,15
17,Xitoy ovul fuqarolar yig`ini,Amudaryo tumani,15
18,"Xitoy ovul fuqarolar yig`ini tarkibidagi ""Tor Yop"" MFY",Amudaryo tumani,15
19,"Xitoy ovul fuqarolar yig`ini tarkibidagi ""Namuna"" MFY",Amudaryo tumani,15
20,Kuyuk ko`pir ovul fuqarolar yig`ini,Amudaryo tumani,15
21,"Kuyuk ko`pir ovul fuqarolar yig`ini tarkibidagi ""O`zbekiston"" MFY",Amudaryo tumani,15
22,"Kuyuk ko`pir ovul fuqarolar yig`ini tarkibidagi ""Qizilcholi"" MFY",Amudaryo tumani,15
23,Jumurtov shaharcha fuqarolar yig`ini,Amudaryo tumani,15
24,Z.M.Bobur nomli ovul fuqarolar yig`ini,Amudaryo tumani,15
25,"Z.M.Bobur nomli ovul fuqarolar yig`ini tarkibidagi ""Jumur ovul"" MFY",Amudaryo tumani,15
26,Oq oltin ovul fuqarolar yig`ini,Amudaryo tumani,15
27,To`lqin ovul fuqarolar yig`ini,Amudaryo tumani,15
28,Choyko`l ovul fuqarolar yig`ini,Amudaryo tumani,15
29,"Choyko`l ovul fuqarolar yig`ini tarkibidagi ""Bosuv"" MFY",Amudaryo tumani,15
30,Qipchoq ovul fuqarolar yig`ini,Amudaryo tumani,15
31,"Qipchoq ovul fuqarolar yig`ini tarkibidagi ""Daryo bo`yi"" MFY",Amudaryo tumani,15
32,"Qipchoq ovul fuqarolar yig`ini tarkibidagi ""Uyshin"" MFY",Amudaryo tumani,15
33,"Qipchoq ovul fuqarolar yig`ini tarkibidagi ""Besh tom"" MFY",Amudaryo tumani,15
34,Qangli ovul fuqarolar yig`ini,Amudaryo tumani,15
35,"Qangli ovul fuqarolar yig`ini tarkibidagi ""Qum Yop"" MFY",Amudaryo tumani,15
36,Nazarxon ovul fuqarolar yig`ini,Amudaryo tumani,15
37,A.Navoiy nomli MFY,Amudaryo tumani,15
38,Chordara MFY,Amudaryo tumani,15
39,Boy ovul MFY,Amudaryo tumani,15
40,Durunki MFY,Amudaryo tumani,15
41,Do`stlik MFY,Amudaryo tumani,15
42,Yangiobod MFY,Amudaryo tumani,15
43,Beruniy nomli MFY,Amudaryo tumani,15
44,Olmazor MFY,Amudaryo tumani,15
45,Gulzor MFY,Amudaryo tumani,15
46,Oybek nomli MFY,Amudaryo tumani,15
47,Bo`ston MFY,Amudaryo tumani,15
85,Kegeyli shaharchasi fuqarolar yig`ini,Kegayli tumani,17
86,Kegeyli shaharchasi 1-sonli MFY,Kegayli tumani,17
87,Kegeyli shaharchasi 2-sonli MFY,Kegayli tumani,17
88,Kegeyli shaharchasi 3-sonli MFY,Kegayli tumani,17
89,Kegeyli shaharchasi 4-sonli MFY,Kegayli tumani,17
90,Xalaqabad shaharchasi fuqarolar yig`ini,Kegayli tumani,17
91,Xalaqabad shaharchasi 1-sonli MFY,Kegayli tumani,17
92,Xalaqabad shaharchasi 2-sonli MFY,Kegayli tumani,17
93,Xalaqabad shaharchasi 3-sonli MFY,Kegayli tumani,17
94,Xalaqabad shaharchasi 4-sonli MFY,Kegayli tumani,17
95,Aktuba ovul fuqarolar yig`ini,Kegayli tumani,17
96,Abat ovul fuqarolar yig`ini,Kegayli tumani,17
97,Janabazar ovul fuqarolar yig`ini,Kegayli tumani,17
